baseline,view,task_id,family,condition,gold_verdict,predicted_verdict,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape,supporting_evidence,selected_doc_ids
timestamp_only,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d02
citation_graph_only,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d04,uncued_003_d01"
claim_overlap_only,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d03,uncued_003_d01"
cue_phrase_only,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d01
always_insufficient,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_003_d03,"uncued_003_d03,uncued_003_d01,uncued_003_d04"
id_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01
document_order_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_004_d02,uncued_004_d02
title_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d04
timestamp_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d04
citation_graph_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d03,uncued_004_d01"
claim_overlap_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d02,uncued_004_d01"
cue_phrase_only,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d02
always_insufficient,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_004_d02,"uncued_004_d02,uncued_004_d01,uncued_004_d03"
id_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01
document_order_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_005_d02,uncued_005_d02
title_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d04
timestamp_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d03
citation_graph_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d02,uncued_005_d04"
claim_overlap_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d02,uncued_005_d01"
cue_phrase_only,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d03
always_insufficient,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_005_d02,"uncued_005_d02,uncued_005_d01,uncued_005_d04"
id_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d01
document_order_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_006_d03,uncued_006_d03
title_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04
timestamp_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04
citation_graph_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_006_d03,uncued_006_d02"
claim_overlap_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_006_d02,uncued_006_d04"
cue_phrase_only,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04
always_insufficient,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_006_d02,"uncued_006_d02,uncued_006_d04,uncued_006_d03"
id_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d01
document_order_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_007_d02,uncued_007_d02
title_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d04
timestamp_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d02
citation_graph_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_007_d01,uncued_007_d02"
claim_overlap_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_007_d02,uncued_007_d03"
cue_phrase_only,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d03
always_insufficient,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_007,evidence_selection,buried_primary,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_007_d02,"uncued_007_d02,uncued_007_d03,uncued_007_d01"
id_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_008_d01
document_order_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,uncued_008_d04,uncued_008_d04
title_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_008_d04
timestamp_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_008_d04
citation_graph_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,"uncued_008_d02,uncued_008_d04"
claim_overlap_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,"uncued_008_d03,uncued_008_d01"
cue_phrase_only,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_008_d04
always_insufficient,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_008,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,"uncued_008_d03,uncued_008_d01,uncued_008_d02"
id_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_009_d01
document_order_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,1.0,0.0,0.0,0.0,uncued_009_d04,uncued_009_d04
title_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
source_type_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
metadata_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_009_d04
timestamp_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_009_d01
citation_graph_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,"uncued_009_d04,uncued_009_d03"
claim_overlap_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,"uncued_009_d04,uncued_009_d02"
cue_phrase_only,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,supported,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,refuted,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,uncued_009_d04
always_insufficient,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_hidden,uncued_009,active_verification,generated_lore,insufficient,insufficient,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,"uncued_009_d04,uncued_009_d02,uncued_009_d03"
