model,prompt_condition,family,condition,task_id,gold_verdict,predicted_verdict,epistemic_escape,belief_correctness,supporting_evidence,supporting_roles,dirty_support_doc_ids,taxonomy_labels,scorer_edge_case_candidate,question
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_068,refuted,refuted,1.0,1.0,"eham_100_primary_a,eham_100_primary_b,eham_100_pollutant_root","primary,primary,contaminant",eham_100_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_068,refuted,refuted,0.0,1.0,"eham_100_primary_a,eham_100_pollutant_root","primary,contaminant",eham_100_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_069,refuted,refuted,1.0,1.0,"eham_101_primary_a,eham_101_primary_b,eham_101_repost_00","primary,primary,contaminant",eham_101_repost_00,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_069,refuted,refuted,1.0,1.0,"eham_101_primary_a,eham_101_primary_b,eham_101_pollutant_root","primary,primary,contaminant",eham_101_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_070,refuted,refuted,1.0,1.0,"eham_102_primary_a,eham_102_primary_b,eham_102_pollutant_root","primary,primary,contaminant",eham_102_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_070,refuted,refuted,1.0,1.0,"eham_102_primary_a,eham_102_primary_b,eham_102_pollutant_root","primary,primary,contaminant",eham_102_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_071,refuted,refuted,0.0,1.0,"eham_103_primary_a,eham_103_pollutant_root,eham_103_repost_00","primary,contaminant,contaminant","eham_103_pollutant_root,eham_103_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_071,refuted,refuted,1.0,1.0,"eham_103_primary_a,eham_103_primary_b,eham_103_pollutant_root","primary,primary,contaminant",eham_103_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_072,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00","generated_lore,generated_lore","eham_120_pollutant_root,eham_120_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_072,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00","generated_lore,generated_lore","eham_120_pollutant_root,eham_120_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_073,insufficient,insufficient,0.0,1.0,"eham_121_pollutant_root,eham_121_repost_00","generated_lore,generated_lore","eham_121_pollutant_root,eham_121_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_073,insufficient,insufficient,0.0,1.0,"eham_121_pollutant_root,eham_121_repost_00","generated_lore,generated_lore","eham_121_pollutant_root,eham_121_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_075,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00","generated_lore,generated_lore","eham_123_pollutant_root,eham_123_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_076,insufficient,insufficient,0.0,1.0,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01","generated_lore,generated_lore,contaminant","eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_076,insufficient,insufficient,0.0,1.0,"eham_124_pollutant_root,eham_124_repost_00","generated_lore,generated_lore","eham_124_pollutant_root,eham_124_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_077,insufficient,insufficient,0.0,1.0,"eham_125_pollutant_root,eham_125_repost_00","generated_lore,generated_lore","eham_125_pollutant_root,eham_125_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_077,insufficient,insufficient,0.0,1.0,"eham_125_pollutant_root,eham_125_repost_00","generated_lore,generated_lore","eham_125_pollutant_root,eham_125_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_078,insufficient,insufficient,0.0,1.0,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01","generated_lore,generated_lore,contaminant","eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,ert_079,insufficient,insufficient,0.0,1.0,"eham_127_pollutant_root,eham_127_repost_00","generated_lore,generated_lore","eham_127_pollutant_root,eham_127_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_079,insufficient,insufficient,0.0,1.0,"eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_03","generated_lore,generated_lore,contaminant","eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_03","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,active_verification,conflicting_evidence,ert_087,refuted,refuted,0.0,1.0,"eham_051_primary_a,eham_051_primary_b,eham_051_repost_00","primary,primary,stale",eham_051_repost_00,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,active_verification,false_consensus,ert_088,refuted,refuted,0.0,1.0,"eham_072_primary_a,eham_072_pollutant_root,eham_072_repost_00","primary,contaminant,contaminant","eham_072_pollutant_root,eham_072_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,false_consensus,ert_088,refuted,refuted,0.0,1.0,"eham_072_primary_a,eham_072_pollutant_root,eham_072_repost_00","primary,contaminant,contaminant","eham_072_pollutant_root,eham_072_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,false_consensus,ert_090,refuted,refuted,0.0,1.0,"eham_074_primary_a,eham_074_repost_00,eham_074_pollutant_root","primary,contaminant,contaminant","eham_074_pollutant_root,eham_074_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,false_consensus,ert_090,refuted,refuted,0.0,1.0,"eham_074_primary_a,eham_074_repost_00","primary,contaminant",eham_074_repost_00,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,false_consensus,ert_091,refuted,refuted,0.0,1.0,"eham_075_primary_a,eham_075_pollutant_root","primary,contaminant",eham_075_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,false_consensus,ert_091,refuted,refuted,0.0,1.0,"eham_075_primary_a,eham_075_pollutant_root,eham_075_repost_00","primary,contaminant,contaminant","eham_075_pollutant_root,eham_075_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,buried_primary,ert_092,refuted,insufficient,0.0,0.0,"eham_096_pollutant_root,eham_096_repost_00,eham_096_repost_01","contaminant,contaminant,contaminant","eham_096_pollutant_root,eham_096_repost_00,eham_096_repost_01","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,buried_primary,ert_092,refuted,insufficient,0.0,0.0,eham_096_pollutant_root,contaminant,eham_096_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,buried_primary,ert_093,refuted,insufficient,0.0,0.0,"eham_097_pollutant_root,eham_097_repost_00","contaminant,contaminant","eham_097_pollutant_root,eham_097_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,buried_primary,ert_094,refuted,insufficient,0.0,0.0,"eham_098_pollutant_root,eham_098_repost_00,eham_098_repost_01","contaminant,contaminant,contaminant","eham_098_pollutant_root,eham_098_repost_00,eham_098_repost_01","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,buried_primary,ert_094,refuted,insufficient,0.0,0.0,"eham_098_pollutant_root,eham_098_repost_00","contaminant,contaminant","eham_098_pollutant_root,eham_098_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,buried_primary,ert_095,refuted,insufficient,0.0,0.0,"eham_099_pollutant_root,eham_099_repost_00,eham_099_repost_01","contaminant,contaminant,contaminant","eham_099_pollutant_root,eham_099_repost_00,eham_099_repost_01","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,buried_primary,ert_095,refuted,insufficient,0.0,0.0,"eham_099_pollutant_root,eham_099_repost_00","contaminant,contaminant","eham_099_pollutant_root,eham_099_repost_00","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,active_verification,generated_lore,ert_096,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00","generated_lore,generated_lore","eham_120_pollutant_root,eham_120_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,active_verification,generated_lore,ert_098,insufficient,insufficient,0.0,1.0,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01","generated_lore,generated_lore,contaminant","eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,generated_lore,ert_098,insufficient,insufficient,0.0,1.0,"eham_122_pollutant_root,eham_122_repost_00","generated_lore,generated_lore","eham_122_pollutant_root,eham_122_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,active_verification,generated_lore,ert_099,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00","generated_lore,generated_lore","eham_123_pollutant_root,eham_123_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.5,standard_answer,packet_judgment,conflicting_evidence,ert_008,refuted,refuted,0.0,1.0,"eham_048_primary_a,eham_048_primary_b,eham_048_pollutant_root","primary,primary,stale",eham_048_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.5,standard_answer,evidence_selection,conflicting_evidence,ert_048,refuted,refuted,1.0,1.0,"eham_048_primary_a,eham_048_primary_b,eham_048_pollutant_root","primary,primary,stale",eham_048_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
