baseline,view,task_id,family,condition,gold_verdict,predicted_verdict,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape,supporting_evidence,selected_doc_ids,is_simple_heuristic
simple_heuristic,neutral_metadata_visible,uncued_031,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_031_d04,"uncued_031_d04,uncued_031_d02,uncued_031_d03",1
id_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d01,0
document_order_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_032_d03,uncued_032_d03,0
title_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d03,0
source_type_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d03,0
metadata_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d04,0
timestamp_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d03,0
citation_graph_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_032_d02,uncued_032_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_032_d04,uncued_032_d01",0
cue_phrase_only,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_032_d04,0
always_insufficient,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_032,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_032_d04,"uncued_032_d04,uncued_032_d01,uncued_032_d02",1
id_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d01,0
document_order_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_033_d01,uncued_033_d01,0
title_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d01,0
source_type_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d01,0
metadata_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d04,0
timestamp_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d03,0
citation_graph_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_033_d02,uncued_033_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_033_d01,uncued_033_d04",0
cue_phrase_only,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_033_d02,0
always_insufficient,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_033,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_033_d01,"uncued_033_d01,uncued_033_d04,uncued_033_d02",1
id_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d01,0
document_order_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_034_d02,uncued_034_d02,0
title_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d02,0
source_type_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d02,0
metadata_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d04,0
timestamp_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d01,0
citation_graph_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_034_d02,uncued_034_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_034_d02,uncued_034_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_034_d01,0
always_insufficient,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_034,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.5,0.0,uncued_034_d02,"uncued_034_d02,uncued_034_d03,uncued_034_d04",1
id_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d01,0
document_order_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_035_d01,uncued_035_d01,0
title_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d01,0
source_type_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d01,0
metadata_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d04,0
timestamp_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d01,0
citation_graph_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_035_d04,uncued_035_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_035_d04,uncued_035_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_035_d01,0
always_insufficient,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_035,active_verification,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.5,0.0,uncued_035_d04,"uncued_035_d04,uncued_035_d02,uncued_035_d03",1
id_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d01,0
document_order_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_036_d01,uncued_036_d01,0
title_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d01,0
source_type_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d01,0
metadata_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d04,0
timestamp_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d03,0
citation_graph_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_036_d02,uncued_036_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_036_d01,uncued_036_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_036_d03,0
always_insufficient,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_036,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_036_d01,"uncued_036_d01,uncued_036_d03,uncued_036_d02",1
id_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d01,0
document_order_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_037_d04,uncued_037_d04,0
title_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d04,0
source_type_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d04,0
metadata_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d04,0
timestamp_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d02,0
citation_graph_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_037_d04,uncued_037_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_037_d01,uncued_037_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_037_d04,0
always_insufficient,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_037,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_037_d01,"uncued_037_d01,uncued_037_d02,uncued_037_d04",1
id_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d01,0
document_order_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_038_d01,uncued_038_d01,0
title_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d01,0
source_type_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d01,0
metadata_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d04,0
timestamp_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d04,0
citation_graph_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_038_d01,uncued_038_d02",0
claim_overlap_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_038_d04,uncued_038_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,refuted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_038_d02,0
always_insufficient,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_038,packet_judgment,buried_primary,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_038_d04,"uncued_038_d04,uncued_038_d03,uncued_038_d01",1
id_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d01,0
document_order_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_039_d04,uncued_039_d04,0
title_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d04,0
source_type_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d04,0
metadata_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d04,0
timestamp_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d02,0
citation_graph_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_039_d01,uncued_039_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_039_d04,uncued_039_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_039_d03,0
always_insufficient,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_039,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_039_d04,"uncued_039_d04,uncued_039_d02,uncued_039_d01",1
id_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d01,0
document_order_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_040_d01,uncued_040_d01,0
title_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d01,0
source_type_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d01,0
metadata_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d04,0
timestamp_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d02,0
citation_graph_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_040_d01,uncued_040_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_040_d04,uncued_040_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_040_d03,0
always_insufficient,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_040,packet_judgment,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_040_d04,"uncued_040_d04,uncued_040_d02,uncued_040_d01",1
id_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d01,0
document_order_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_041_d01,uncued_041_d01,0
title_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d01,0
source_type_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d01,0
metadata_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d04,0
timestamp_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d02,0
citation_graph_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_041_d03,uncued_041_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_041_d01,uncued_041_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_041_d04,0
always_insufficient,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_041,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_041_d01,"uncued_041_d01,uncued_041_d02,uncued_041_d04",1
id_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d01,0
document_order_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_042_d01,uncued_042_d01,0
title_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d01,0
source_type_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d01,0
metadata_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d04,0
timestamp_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d01,0
citation_graph_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_042_d04,uncued_042_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_042_d01,uncued_042_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_042_d02,0
always_insufficient,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_042,evidence_selection,buried_primary,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_042_d01,"uncued_042_d01,uncued_042_d03,uncued_042_d02",1
id_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d01,0
document_order_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_043_d01,uncued_043_d01,0
title_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d01,0
source_type_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d01,0
metadata_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d04,0
timestamp_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d03,0
citation_graph_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_043_d02,uncued_043_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_043_d01,uncued_043_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_043_d01,0
always_insufficient,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_043,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_043_d01,"uncued_043_d01,uncued_043_d03,uncued_043_d02",1
id_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d01,0
document_order_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_044_d03,uncued_044_d03,0
title_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d03,0
source_type_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d03,0
metadata_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d04,0
timestamp_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d04,0
citation_graph_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_044_d01,uncued_044_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_044_d03,uncued_044_d04",0
cue_phrase_only,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_044_d01,0
always_insufficient,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_044,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_044_d03,"uncued_044_d03,uncued_044_d04,uncued_044_d01",1
id_only,neutral_metadata_visible,uncued_045,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_045_d01,0
document_order_only,neutral_metadata_visible,uncued_045,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_045_d01,uncued_045_d01,0
